Ticket Description,Ticket Type
"Mi aplicación muestra un error 500 al intentar guardar el archivo","Soporte Técnico"
"Hay un bug en la página de inicio de sesión y no puedo acceder a mi cuenta","Soporte Técnico"
"Se produce un error de conexión cada vez que abro el programa","Soporte Técnico"
"El sistema se bloquea al subir documentos y necesito ayuda técnica","Soporte Técnico"
"La impresora no responde y aparece un error de hardware","Soporte Técnico"
"No puedo instalar la nueva versión debido a una falla en el instalador","Soporte Técnico"
"El dashboard arroja un tiempo de espera cuando cargo los reportes","Soporte Técnico"
"Tras la última actualización el sistema muestra un error inesperado","Soporte Técnico"
"El servicio se cae y la página queda en blanco","Soporte Técnico"
"Hay un problema con el servidor y no carga los datos","Soporte Técnico"
"La aplicación móvil no carga las notificaciones y da un error","Soporte Técnico"
"La sincronización falla y el sistema se queda congelado","Soporte Técnico"
"Mi cuenta no se actualiza y aparece un mensaje de error","Soporte Técnico"
"El botón de pago no funciona y muestra un error en la interfaz","Soporte Técnico"
"La función de búsqueda genera un fallo cada vez que la uso","Soporte Técnico"
"Quisiera cancelar mi suscripción y eliminar todos mis datos","Cancelación"
"Por favor den de baja mi cuenta y borren mi información personal","Cancelación"
"Necesito cancelar el servicio y detener futuros cobros","Cancelación"
"Quiero eliminar mi perfil de la plataforma de forma permanente","Cancelación"
"Solicito la baja inmediata de mi suscripción","Cancelación"
"Deseo cancelar mi cuenta porque ya no uso el servicio","Cancelación"
"Por favor anulen mi plan y quítenme del sistema","Cancelación"
"Quiero borrar los datos de facturación de mi perfil","Cancelación"
"Necesito detener la renovación automática y cancelar mi plan","Cancelación"
"Cancelar la membresía y cerrar mi acceso por completo","Cancelación"
"Quisiera eliminar mi tarjeta de pago y cerrar la cuenta","Cancelación"
"Me cobraron dos veces este mes en mi tarjeta de crédito","Facturación"
"La factura tiene un monto incorrecto y requiere corrección","Facturación"
"Necesito ayuda con el cargo duplicado en mi cuenta","Facturación"
"Mi comprobante de pago no coincide con el cobro real","Facturación"
"Quiero solicitar un reembolso por un cobro erróneo","Facturación"
"El recibo aparece con una tarifa extra que no solicité","Facturación"
"Mi estado de cuenta muestra un cargo desconocido","Facturación"
"La factura de este mes no incluye el descuento pactado","Facturación"
"El portal de facturación no actualiza mi pago","Facturación"
"La comisión que me cobraron es incorrecta","Facturación"
"No puedo consultar mis facturas dentro de la plataforma","Facturación"
"¿Cómo puedo cambiar la forma de pago para futuros cargos?","Factura General"
"Tengo una pregunta sobre el ciclo de facturación de mi servicio","Factura General"
"¿Dónde encuentro la información de mi contrato?","Consulta General"
"Necesito saber cómo actualizar mi dirección de facturación","Consulta General"
"¿Cuál es el horario de atención para clientes de mi región?","Consulta General"
"Quiero saber si puedo compartir mi cuenta con otro usuario","Consulta General"
"¿Cómo funciona el periodo de prueba gratuito?","Consulta General"
"¿Qué documentación necesito para cambiar de plan?","Consulta General"
"Me gustaría información sobre las funciones disponibles en el servicio","Consulta General"
"¿Puedo transferir mis datos a otro sistema?","Consulta General"
"¿Cómo accedo a los reportes archivados?","Consulta General"
"Tengo una pregunta sobre la política de privacidad","Consulta General"
"Deseo presentar una queja porque el producto llegó dañado","Queja"
"El servicio es deficiente y quiero una reclamación formal","Queja"
"Estoy insatisfecho con la atención que recibí en soporte","Queja"
"Llevamos varias semanas con el mismo problema sin solución","Queja"
"Estoy molesto porque no resolvieron el error de mi cuenta","Queja"
"No me han respondido a la solicitud de reembolso","Queja"
"El sistema se cae frecuentemente y esto es inaceptable","Queja"
"Mi experiencia fue mala y quiero escalar este caso","Queja"
"El cobro fue erróneo y nadie me da una explicación clara","Queja"
"Me rehúso a seguir pagando por un servicio defectuoso","Queja"
"La atención al cliente no supo resolver mi problema","Queja"
"El sitio web no permite cambiar la contraseña y siempre falla","Soporte Técnico"
"El registro de nuevos usuarios arroja un error de validación","Soporte Técnico"
"El botón enviar no funciona en el formulario de contacto","Soporte Técnico"
